id,name,bic,street,city,zip,country:id
BRINIDJA037,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (BANDA ACEH BRANCH)",BRINIDJA037,,BANDA ACEH,,base.id
BRINIDJA038,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (KUDUS BRANCH)",BRINIDJA038,,KUDUS,,base.id
BRINIDJA039,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (KUPANG BRANCH)",BRINIDJA039,,KUPANG,,base.id
BRINIDJA042,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (LANGSA BRANCH)",BRINIDJA042,,LANGSA,,base.id
BRINIDJA043,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (LHOKSEUMAWE BRANCH)",BRINIDJA043,,LHOKSEUMAWE,,base.id
BRINIDJA050,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (UJUNG PANDANG BRANCH)",BRINIDJA050,,UJUNG PANDANG,,base.id
BRINIDJA051,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (MALANG BRANCH)",BRINIDJA051,,MALANG,,base.id
BRINIDJA052,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (MATARAM BRANCH)",BRINIDJA052,,MATARAM,,base.id
BRINIDJA053,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (MEDAN PUTRI HIJAU BRANCH)",BRINIDJA053,,MEDAN,,base.id
BRINIDJA054,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (MANADO BRANCH)",BRINIDJA054,,MANADO,,base.id
BRINIDJA058,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (PADANG BRANCH)",BRINIDJA058,,PADANG,,base.id
BRINIDJA059,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (PALEMBANG BRANCH)",BRINIDJA059,,PALEMBANG,,base.id
BRINIDJA063,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (PANGKAL PINANG BRANCH)",BRINIDJA063,,PANGKAL PINANG,,base.id
BRINIDJA071,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (PONTIANAK BRANCH)",BRINIDJA071,,PONTIANAK,,base.id
